s_no,company,ctc,ece,cse,eee,it,mech,prod,civil,chem,bio,mca,mcse,mece,meee,mcad,mciv,mba,total
1,AISHWARYA TELECOM,1.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2,CORDYS,3.5,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3
3,AWAYA,4,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
4,VINISOFT,1.44,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
5,HONEYWELL,3.25,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
6,VALUE LABS,2,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3
7,TATA ADVANCE SYSTEMS,3.2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
8,POKARNA GRANITES,2,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
9,CAPITAL IQ,5.8,NA,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
10,NALCO,1.8,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2
11,BIRLA SOFT,2,0,2,NA,2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,9
12,ZETA INTERACTIVE,2.16,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
13,NOKIA SIEMENS NETWORKS - GET PROGRAM,3.15,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
14,ZETA INTERACTIVE,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
15,REVIVAL SOFT GROUP,1.8,NA,1,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,3,5
16,LEAP LOYALITY SOLUTIONS,2.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
17,DALMIA CEMENTS (BHARAT) LTD.,2.8,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2
18,PRITHVI INFORMATION SOLUTIONS LTD.,2.5,NA,5,NA,8,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,15
19,MAQ SOFTWARE,3.25,NA,7,NA,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,13
20,CTS,3.1,39,41,18,20,21,8,8,7,19,10,1,2,1,2,0,NA,197
21,DELOITTE,4.25,13,8,NA,5,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,27
22,INFOSYS,3.25,24,15,5,8,3,8,1,5,6,3,NA,NA,NA,NA,NA,NA,78
23,MEDHA SERVO DRIVE,2.4,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
24,INTERGRAPH,3,0,0,1,0,0,NA,1,0,NA,NA,0,0,0,0,NA,NA,2
25,L & T (ECC),2.7,NA,NA,1,NA,1,NA,17,NA,NA,NA,NA,NA,NA,NA,2,NA,21
26,NAGARJUNA CONSTRUCTION COMPANY LTD.,1.8,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
27,ROBERT BOSCHE,3.14,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
28,JK TYRE & INDUSTRIES LTD.,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
29,CYBAGE EVOLVING SOLUTIONS,2.4,4,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
30,ZENSAR,2.1,3,2,0,4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,12
31,HUSYS CONSULTENCY,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
32,GVK POWER LTD.,2,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
33,CORDYS,3.5,0,0,0,0,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2
34,IGATE,2.7,3,3,2,4,1,0,NA,0,NA,2,NA,NA,NA,NA,NA,NA,15
35,POKARNA GRANITES,2,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
36,AMAZON,10,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
37,ADP,3.65,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,7
38,GOOGLE,3.6,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,NA,4
39,FMC TECHNOLOGIES INDIA PVT.LTD.,4.8,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
