s_no,company,ctc,ece,cse,eee,it,mech,prod,civil,chem,bio,mca,mcse,mece,mvs,meee,mcad,mth,mciv,mba,total
1,CHANNELPLAY LTD,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
2,GE INDIA TECHNOLOGIES PVT LTD,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,0,1,0,NA,NA,7
3,TATA PROJECTS LTD,4.5,NA,NA,1,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
4,SONATA SOFTWARE,4.3,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
5,PYRO NETWORKS,2.75,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
6,L & T CONSTRUCTION,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,1,NA,3
7,MICROSOFT,11,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
8,GOOGLE,6,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
9,MAHINDRA & MAHINDRA,5.5,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
10,DELOITTE,4.5,9,10,0,8,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,28
11,J P MORGAN CHASE,6,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
12,FACTSET,6,0,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
13,MICROSOFT,11,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
14,MICROSOFT INTERNSHIP,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
15,J P MORGAN CHASE,6,NA,3,NA,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,5
16,ITC LTD,8,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
17,FUTURES FIRST,8.75,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
18,ELGI EQUIPMENTS LIMITED,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
19,CTS,3.35,56,41,21,15,13,7,11,12,8,1,4,1,2,0,0,1,0,NA,193
20,FCS,5,1,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
21,CAPITAL IQ,5.5,NA,3,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3
22,INFOSYS,3.35,63,57,17,16,13,15,22,15,18,0,3,1,1,0,0,1,0,NA,242
23,HUL,5.53,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
24,WIPRO,3.35,30,10,11,4,8,2,5,7,2,2,NA,NA,NA,NA,NA,NA,NA,NA,81
,,,,,,,,,,,,,,,,,,,,,
25,MICROSOFT-GFS INTERNSHIP,3,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
26,CAPGEMINI,3,5,5,6,2,3,4,3,1,NA,3,2,0,2,0,0,0,0,NA,36
27,FMC TECHNOLOGIES,6,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
28,CYBAGE,3,5,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
29,IGATE,3.25,9,6,3,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,21
30,HSBC,4,0,0,0,0,0,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1
31,CTS-MBA-FINANCE,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6
32,PEGA SYSTEMS,6,1,7,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
33,SATYAM VENTURE ENGINEERING SERVICES PVT LTD,2.1,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
34,TECH MAHINDRA,3,5,0,1,1,0,1,1,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,13
35,INTERGRAPH,3.7,NA,2,NA,0,3,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,NA,5
36,BANK OF AMERICA,3.75,2,4,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
37,MUSIGMA,4.5,NA,3,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6
38,CA TECHNOLOGIES,5.5,NA,3,NA,2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,5
39,TATA ADVANCED SYSTEMS LTD.,3.93,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
40,BROADCOM - INTERNSHIP,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
41,WELLS FARGO,5.2,8,6,2,2,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
42,GODREJ & BOYCE MFG. CO. LTD,5,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
43,BACKOFFICE ASSOCIATES,4.5,4,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
