s_no,company,ctc,ece,cse,eee,it,mech,prod,civil,chem,bio,mca,mcnis,,mece,mvs,meee,mcad,mth,mciv,mba,total
1,TIBCO,5.00,NA,6,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,7
2,HYDERABAD INDUSTRIES LTD.,4.50,NA,NA,1,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
3,PROGRESS SOFTWARE-INTERNSHIP,2.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,3
4,DELOITTE,5.20,11,10,5,6,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,34
5,DELOITTE (INTERNSHIP),1.80,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
6,ORACLE (CGBU,8.00,0,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,4
7,ORACLE (PGBU),8.00,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,2
8,JPMORGAN CHASE,6.00,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
9,MICROSOFT(MSIT),12.00,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
10,MICROSOFT(FTP),12.00,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
11,MICROSOFT(INTERNSHIP),3.00,NA,4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
12,ITC,8.50,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
13,FACTSET,6.00,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
14,COGNIZANT,3.35,48,41,14,16,14,8,18,13,10,1,5,0,2,4,1,0,1,0,NA,196
15,INFOSYS,3.35,68,39,17,19,17,9,19,20,8,3,7,2,3,2,2,1,2,0,NA,238
16,Verity Knowledge Solutions,3.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
17,WIPRO,3.35,49,35,8,26,7,4,15,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,152
18,ACCENTURE,3.00,70,46,22,23,18,22,36,22,19,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,282
19,TECHMAHINDRA,3.00,2,6,2,1,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
20,CAPGEMINI,3.00,1,2,2,2,1,1,4,NA,NA,1,3,0,1,0,3,0,0,0,NA,21
21,CYBAGE,3.00,3,8,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
22,ALLIANCE GLOBAL SERVICES,4.00,4,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
23,MICROSOFT - GFS,12.00,NA,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
24,CA TECHNOLOGIES,5.50,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
25,IGATE,3.00,7,3,0,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
26,JPMORGAN CHASE,5.25,NA,11,NA,6,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,17
27,NCR CORPORATION,4.00,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
28,VERIZON,4.50,7,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
29,HEXAGON,4.30,NA,2,NA,0,1,1,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,4
30,CYIENT,2.75,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
31,L & T INFOTECH (OFF CAMPUS),3.00,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,1
32,FORD,5.50,4,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
33,"SATYAM VENTURE ENGINEERING
SERVICES PVT LTD",2.10,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
