s_no,company,ctc,bio,chem,civil,cse,ece,eee,it,mech,prod,mca,mcse,mcnis,mece,mvs,meee,mcad,mth,mciv,mba,total,
1,Deloitte MBA Internship,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,
2,Hetero Drugs,2.0,NA,0,NA,4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,
3,CA Technology,6.0,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
4,Mytrah Energy Pvt. Ltd.,3.0,NA,NA,3,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,
5,Cognizant - (MBA-HR),4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
6,MICROSOFT (Off Campus),36.0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
7,MY HOME GROUP,2.4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
8,Aurobindo,3.5,1,1,NA,NA,NA,NA,NA,6,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,
9,Cognizant Pool,3.4,NA,NA,NA,2,4,2,0,2,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,11,
10,Verity Knowledge Solutions,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
11,Samsung R&D PPO,7.5,NA,NA,NA,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,
11,JPMC Code for Good,9.0,NA,NA,NA,12,1,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,
12,Deloitte,6.2,NA,NA,NA,11,19,3,9,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,
13,Oracle,9.5,NA,NA,NA,15,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,
14,MICROSOFT,39.0,NA,NA,NA,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,
15,ServiceNow,10.9,NA,NA,NA,1,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,
16,Wipro (off campus),3.2,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,
17,NCR,7.0,NA,NA,NA,10,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,
18,DarwinBox,6.6,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,
19,Value Labs,12.0,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
20,EZE Software,6.4,NA,NA,NA,2,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,
21,Bank of America,4.3,NA,NA,NA,16,4,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,
22,TechnipFMC,6.0,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,0,0,NA,0,6,
23,Deloitte Tax USI MBA,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,
24,"HackwithiInfy (Infosys)
Power
Programmer Role",8.0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,3,
25,Epam Systems,6.0,NA,NA,NA,2,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,
26,Capgemini,3.5,1,1,3,25,42,11,21,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,
27,Cognizant,3.4,1,1,4,42,37,18,26,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,
28,Infosys,3.6,6,1,15,52,70,31,42,34,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,259,
29,"Infosys System Engineer
Role",5.0,NA,NA,NA,6,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,
30,VEDA IIT,3.6,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,
31,Merilytics,4.6,NA,NA,0,6,0,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,
32,TCS Ninja,3.4,NA,NA,NA,10,24,6,10,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,
33,Tata Elxsi Core,3.5,NA,NA,NA,2,11,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,
34,Tata Elxsi Core,5.5,NA,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
35,Accenture,4.0,NA,NA,NA,20,29,31,18,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,
36,PH Technologies,4.0,NA,NA,NA,0,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,
