s_no,company,ctc,ece,cse,eee,it,mech,prod,civil,chem,bio,mca,mcse,mcnis,mece,mvs,meee,mcad,mth,mstr,mba,total
1,ServiceNow,25.0,1,4,0,5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
2,Goldman Sachs Service,23.0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
3,JPMC On Campus & PPO,14.0,1,30,0,5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
4,Deloitte Tax On Campus & PPO MBA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9
5,Micron,8.1,10,15,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
6,Oracle FSGBU and NetSuite,11.5,2,16,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
7,Accolite,12.0,0,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
8,FactSet,8.9,0,5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
9,"Deloitte, Tax & Audit",7.6,23,25,7,13,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,68
10,Google PPO,11.5,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
11,HackWithInfy Sytem Engineering Specialist (SES),5.0,7,49,0,22,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,79
12,Larsen & Toubro Infotech Ltd. LTI,5.0,29,29,7,18,6,0,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95
13,Larsen & Toubro Infotech Ltd. LTI,6.5,5,9,1,9,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
14,Loyalty Juggernaut India P Ltd,7.5,NA,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
15,Capgemini,3.8,25,16,2,11,3,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,64
16,HUL,7.0,NA,NA,0,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
17,Accenture,4.5,43,32,16,16,4,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
18,Merilytics,4.6,1,3,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
19,Raam Group,14.4,3,2,1,0,7,2,0,0,1,0,0,0,0,0,0,0,0,0,2,18
20,Cognizant GenC,4.0,61,24,31,20,11,1,7,9,5,0,0,0,0,0,1,0,1,1,NA,172
21,Infosys,4.0,18,7,12,8,8,0,4,4,1,2,0,0,0,1,0,0,0,0,NA,65
22,Cognizant GenC Next,7.0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3
23,Gap Inc.Technology Center,9.0,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
24,Franklin Templeton MBA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
25,FICO,8.0,NA,2,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
