s_no,company,ppo,ctc,ecd,cse,eee,it,mech,prod,civil,chem,bio,mca,mcse,maid,mece,mvs,mpp,mcad,mth,mstr,mba,total
1,JP Morgan Chase & Co. CFG & PPO,50000,14.0,0,25,2,10,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
2,Salesforce PPO,40000,11.9,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
3,Deloitte Tax PPO & on Campus MBA,25000,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10
4,Infosys Power Programmer,25000,8.0,1,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,3
5,Infosys DSE (Digital Spel Engg),,6.3,2,14,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
6,Infosys SE (System Engineer),,3.6,7,25,1,3,2,NA,4,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,44
7,Deloitte Technology PPO&Oncampus,25000,7.6,24,20,10,15,7,0,3,2,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,85
8,ServiceNow & PPO,45000,33.6,1,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
9,Oracle CEGBU & FSGBU,50000,16.6,3,7,1,7,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,18
10,Accolite Digital,20000,12.0,0,5,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,6
11,Micron,30000,8.1,2,9,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
12,Mathworks,50000,17.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1
13,Searce,15000,7.5,0,3,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
14,Cognizant GenC Next,10000,6.8,4,7,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,16
15,Cognizant GenC & GenC Elevate,10000,4.0,57,39,37,39,26,3,21,16,12,28,1,0,3,1,0,0,0,0,NA,283
16,Amazon Pre-Placement Offers,,4.5,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
17,Barclays,,12.7,NA,13,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
18,AiZen Algo Pvt Ltd,,4.5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3
19,Dr.Reddys Laboratories,,3.5,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
20,Accenture ASE Role,15000,4.5,32,25,13,18,1,0,6,2,2,4,2,1,0,0,0,0,0,0,NA,106
21,Accenture Adv ASE Role,,6.5,2,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,11
22,Amazon Tech,80000,12.0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
23,Capgemini (Interim analysist Selects),15000,7.5,4,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9
24,Capgemini (Interim Senior analyst Selects),,4.0,20,14,17,9,11,1,7,2,1,7,0,0,0,0,0,0,0,0,0,89
25,Modak Analytics LLP,10000,6.0,6,9,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
26,Future First FTE,20000,12.5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
27,Larsen & Toubro Infotech Ltd Level-3,,8.0,5,4,2,9,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
28,Larsen & Toubro Infotech Ltd Level-2,,6.5,9,10,7,3,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
29,Larsen & Toubro Infotech Ltd Level-1,,5.0,9,13,1,5,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
30,Gap Inc.Technology Center,35000,9.0,5,5,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
31,Merilytics,,6.5,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
32,Incture,,7.0,3,2,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
33,Next Education,10000,7.0,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
34,Wipro Ltd,,3.5,36,32,25,27,9,1,6,2,5,0,0,0,0,0,0,0,0,0,NA,143
35,GMM Pfaudler Ltd.,,5.5,NA,NA,NA,NA,3,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
36,Hexaware Technologies,,5.0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
37,Verity Knowledge Solutions MBA,,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
38,PwC Acceleration Center,30000,6.0,7,4,1,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
