s_no,company,ppo,ctc,cse,it,ece,eee,mech,prod,civil,chem,bio,mca,mcse,maid,mece,mvs,mpp,mcad,mth,mstr,mba,total
1,Infosys (SP),,9.5,1,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2,Infosys (DSE),,6.3,3,3,1,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
3,Infosys (SE),,4.0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,6
4,Cognizant GenC Next,,6.8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
5,Cognizant GenC Pro,,4.0,13,9,25,19,21,2,9,7,7,10,0,1,0,0,NA,0,0,,NA,123
6,JP Morgan Chase & Co. CFG & PPO,70000,17.8,21,18,1,0,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,41
7,Celigo,30000,16.0,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
8,"Oracle (GBU, PDO & OFSS)",50000,18.3,19,10,6,2,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,37
9,Silicon Labs PPO,35000,23.0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
10,Furures First,,12.5,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
11,ServiceNow,45000,26.4,4,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
12,Sales Force,40000,12.7,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
13,Micron Technology,22000,10.2,4,5,4,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
14,Darwinbox,25000,16.3,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
15,Gainsight Software Pvt Ltd,,15.0,1,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6
16,Amazon (Support Engg II),50000,9.8,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
17,Barclays,,13.3,17,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
18,Deloitte Consulting Role,,7.6,13,19,17,6,5,0,1,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,65
19,Thomson Reuters,30000,7.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1,2,0,1,1,0,0,0,NA,19
20,IBM-CIO,30000,7.7,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
21,Goldman sachs PPO,100000,24.0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
22,Arcesium,100000,37.0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
23,Fix Flyer Infotech,25000,6.0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
24,Cognizant Elevate,,4.3,7,7,3,3,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
25,Gap Inc,35000,11.7,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
26,Bosch,35000,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,2,0,0,0,0,NA,5
27,Merilytics,,6.5,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
28,Aveva,,7.0,5,1,5,2,3,0,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
29,Ford Motors Pvt Ltd,15000,6.0,5,2,2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
30,Amazon (SDE Role Off),80000,45.6,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
31,ZL Technologies,,10.0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
